Variable,Lag,ACF,PACF
sell_10s_volume,1,0.967,0.967
sell_10s_volume,2,0.930,-0.094
sell_10s_volume,3,0.891,-0.037
sell_10s_volume,4,0.851,-0.032
sell_10s_volume,5,0.810,-0.038
sell_10s_volume,6,0.769,-0.023
sell_10s_volume,7,0.727,-0.027
sell_10s_volume,8,0.685,-0.026
sell_10s_volume,9,0.643,-0.032
sell_10s_volume,10,0.601,-0.025
sell_10s_volume,11,0.558,-0.032
sell_10s_volume,12,0.515,-0.030
sell_10s_volume,13,0.473,-0.024
sell_10s_volume,14,0.430,-0.031
sell_10s_volume,15,0.387,-0.029
buy_1min_volume,0,1.000,1.000
buy_1min_volume,1,0.997,0.997
buy_1min_volume,2,0.994,-0.070
buy_1min_volume,3,0.991,-0.029
buy_1min_volume,4,0.987,-0.021
buy_1min_volume,5,0.984,-0.015
buy_1min_volume,6,0.980,-0.014
buy_1min_volume,7,0.976,-0.021
buy_1min_volume,8,0.972,-0.016
buy_1min_volume,9,0.968,-0.008
buy_1min_volume,10,0.964,-0.007
buy_1min_volume,11,0.960,-0.001
buy_1min_volume,12,0.956,-0.008
buy_1min_volume,13,0.952,-0.011
buy_1min_volume,14,0.948,-0.010
buy_1min_volume,15,0.944,-0.061
sell_1min_volume,0,1.000,1.000
sell_1min_volume,1,0.997,0.997
sell_1min_volume,2,0.993,-0.085
sell_1min_volume,3,0.989,-0.023
sell_1min_volume,4,0.985,-0.019
sell_1min_volume,5,0.981,-0.024
sell_1min_volume,6,0.976,-0.006
sell_1min_volume,7,0.972,-0.007
sell_1min_volume,8,0.967,-0.013
sell_1min_volume,9,0.963,-0.010
sell_1min_volume,10,0.958,-0.009
sell_1min_volume,11,0.954,-0.008
sell_1min_volume,12,0.949,-0.011
sell_1min_volume,13,0.944,-0.008
sell_1min_volume,14,0.939,-0.007
sell_1min_volume,15,0.934,-0.005
buy_5min_volume,0,1.000,1.000
buy_5min_volume,1,1.000,1.000
buy_5min_volume,2,0.999,-0.068
buy_5min_volume,3,0.999,-0.032
buy_5min_volume,4,0.999,-0.022
buy_5min_volume,5,0.998,-0.015
buy_5min_volume,6,0.998,-0.017
buy_5min_volume,7,0.997,-0.026
buy_5min_volume,8,0.997,-0.014
buy_5min_volume,9,0.996,-0.011
buy_5min_volume,10,0.996,-0.008
buy_5min_volume,11,0.996,-0.005
buy_5min_volume,12,0.995,-0.007
buy_5min_volume,13,0.995,-0.007
buy_5min_volume,14,0.994,-0.010
buy_5min_volume,15,0.994,-0.059
sell_5min_volume,0,1.000,1.000
sell_5min_volume,1,1.000,1.000
sell_5min_volume,2,0.999,-0.081
sell_5min_volume,3,0.999,-0.023
sell_5min_volume,4,0.998,-0.018
sell_5min_volume,5,0.998,-0.023
sell_5min_volume,6,0.998,-0.006
sell_5min_volume,7,0.997,0.002
sell_5min_volume,8,0.997,-0.011
sell_5min_volume,9,0.996,-0.016
sell_5min_volume,10,0.996,-0.011
sell_5min_volume,11,0.995,-0.012
sell_5min_volume,12,0.995,-0.007
sell_5min_volume,13,0.994,-0.007
sell_5min_volume,14,0.994,-0.009
sell_5min_volume,15,0.993,-0.007
volatility_10s,0,1.000,1.000
volatility_10s,1,0.989,0.989
volatility_10s,2,0.962,-0.701
volatility_10s,3,0.924,-0.093
volatility_10s,4,0.878,-0.031
volatility_10s,5,0.826,-0.010
volatility_10s,6,0.771,0.002
volatility_10s,7,0.714,0.014
volatility_10s,8,0.657,0.019
volatility_10s,9,0.601,0.022
volatility_10s,10,0.549,0.032
volatility_10s,11,0.499,0.030
volatility_10s,12,0.455,0.035
volatility_10s,13,0.415,0.034
volatility_10s,14,0.382,0.037
volatility_10s,15,0.354,0.036
volatility_1min,0,1.000,1.000
volatility_1min,1,1.000,1.000
volatility_1min,2,0.999,-0.918
volatility_1min,3,0.997,-0.217
volatility_1min,4,0.995,-0.054
